SAMPLE_ID	Acholeplasmatales	Acidaminococcales	Acidiferrobacterales	Acidimicrobiales	Acidithiobacillales	Acidobacteriales	Acidothermales	Actinomycetales	Actinopolysporales	Aeromonadales	Alteromonadales	Anaerolineales	Aquificales	Ardenticatenales	Bacillales	Bacteriovoracales	Bacteroidales	Bacteroidetes Order II. Incertae sedis	Bdellovibrionales	Bifidobacteriales	Brachyspirales	Bradymonadales	Bryobacterales	Burkholderiales	Caldilineales	Caldisericales	Calditrichales	Campylobacterales	Candidatus Babeliales	Candidatus Brocadiales	Candidatus Nanopelagicales	Candidatus Nanosynbacterales	Cardiobacteriales	Catenulisporales	Caulobacterales	Cellvibrionales	Chitinophagales	Chlamydiales	Chlorobiales	Chloroflexales	Chromatiales	Chroococcales	Chroococcidiopsidales	Chrysiogenales	Chthonomonadales	Clostridiales	Coprothermobacterales	Coriobacteriales	Corynebacteriales	Cytophagales	Deferribacterales	Dehalococcoidales	Deinococcales	Desulfarculales	Desulfobacterales	Desulfovibrionales	Desulfurellales	Desulfurobacteriales	Desulfuromonadales	Dictyoglomales	Eggerthellales	Egibacterales	Egicoccales	Elusimicrobiales	Emcibacterales	Endomicrobiales	Enterobacterales	Entomoplasmatales	Erysipelotrichales	Euzebyales	Fibrobacterales	Fimbriimonadales	Flavobacteriales	Frankiales	Fusobacteriales	Gemmatales	Gemmatimonadales	Geodermatophilales	Gloeobacterales	Gloeoemargaritales	Glycomycetales	Halanaerobiales	Halobacteriales	Holosporales	Hydrogenophilales	Ignavibacteriales	Immundisolibacterales	Isosphaerales	Jiangellales	Kineosporiales	Kiritimatiellales	Kordiimonadales	Kosmotogales	Ktedonobacterales	Lactobacillales	Legionellales	Leptospirales	Limnochordales	Magnetococcales	Marinilabiliales	Mariprofundales	Mesoaciditogales	Methanobacteriales	Methanocellales	Methanococcales	Methanomassiliicoccales	Methanomicrobiales	Methanosarcinales	Methylacidiphilales	Methylococcales	Micrococcales	Micromonosporales	Mycoplasmatales	Myxococcales	Nakamurellales	Natranaerobiales	Nautiliales	Neisseriales	Nevskiales	Nitrosomonadales	Nitrosopumilales	Nitrososphaerales	Nitrospirales	Nostocales	Oceanospirillales	Opitutales	Orbales	Oscillatoriales	Parachlamydiales	Parvularculales	Pasteurellales	Pelagibacterales	Petrotogales	Phycisphaerales	Pirellulales	Planctomycetales	Pleurocapsales	Propionibacteriales	Pseudomonadales	Pseudonocardiales	Puniceicoccales	Rhizobiales	Rhodobacterales	Rhodocyclales	Rhodospirillales	Rickettsiales	Rubrobacterales	Salinisphaerales	Saprospirales	Sedimentisphaerales	Selenomonadales	Silvanigrellales	Solirubrobacterales	Sphaerobacterales	Sphingobacteriales	Sphingomonadales	Spirochaetales	Sporichthyales	Streptomycetales	Streptosporangiales	Sulfolobales	Synechococcales	Synergistales	Syntrophobacterales	Tepidiformales	Thermales	Thermoanaerobacterales	Thermococcales	Thermodesulfobacteriales	Thermomicrobiales	Thermoproteales	Thermosediminibacterales	Thermotogales	Thiotrichales	Tissierellales	Trueperales	Veillonellales	Verrucomicrobiales	Vibrionales	Xanthomonadales
SRR39238445	2.54603256450845	1.746238420619757	0.5890035471116406	2.1318484211748547	1.1877371602002504	1.7071153163624724	0.5890035471116406	3.0738323272133625	1.325736193169663	1.539300876629088	2.4596834647433425	1.8023170738283352	0.887818790534515	1.025515500001687	2.9195394469911173	1.414527240032134	4.461156349261391	0.5890035471116406	1.8460700731627324	1.6456484997988576	0.0	0.4655350620741447	2.3856937857256595	3.626551244033903	0.887818790534515	1.2621949982107195	0.0	3.3932868660405604	0.0	0.0	0.763619560324921	1.2844245061604138	0.4655350620741447	0.0	3.0562361161318	2.9542613444036525	2.960245098063126	0.0	0.4655350620741447	1.3055713795125523	2.0200929692461203	0.0	0.0	0.0	0.0	3.833090193883233	0.0	2.25905896136778	3.004122402767157	3.146570228161809	0.29236945780923623	2.050841136905967	1.025515500001687	0.29236945780923623	1.760951423347775	2.0581996726884424	0.5890035471116406	0.0	2.1032118708547416	0.0	2.450910754863455	0.8301439290725199	0.29236945780923623	0.8301439290725199	0.8301439290725199	0.887818790534515	2.7699922989727663	1.2387659928266728	3.130809485965603	1.5957218144532794	0.0	1.8400831045340618	2.841665690602557	1.6263609713351297	2.3645938204668777	0.4655350620741447	3.0020514524723456	0.5890035471116406	0.5890035471116406	0.0	0.29236945780923623	1.6730630048866022	0.0	1.398162218275873	0.763619560324921	0.4655350620741447	0.0	0.4655350620741447	1.6549802749966176	0.685029014097992	0.29236945780923623	1.2387659928266728	0.763619560324921	0.29236945780923623	3.14268333924305	2.1974554025665474	0.0	0.0	0.29236945780923623	1.2844245061604138	0.5890035471116406	0.0	0.4655350620741447	0.0	0.0	0.0	0.0	1.681829647667872	1.325736193169663	0.29236945780923623	2.6977044572406506	1.5957218144532794	2.1439938185705874	3.159184518604145	0.4655350620741447	0.4655350620741447	0.29236945780923623	2.287942448261153	1.5740248739708147	3.287002083020467	0.0	0.0	1.2387659928266728	1.1877371602002504	2.353646531376591	2.3752719318119695	0.0	0.763619560324921	1.0978173115880316	0.0	2.7628496195887235	1.2621949982107195	0.0	0.0	1.2387659928266728	1.1597826335868437	0.29236945780923623	2.710077390152265	3.460642064634515	2.007976970739507	1.2844245061604138	3.5701060433799046	2.3805141199399413	2.254439773869037	2.8936822145298207	1.9464845541823714	2.016091742914986	0.0	2.2814454874470016	0.0	1.9017958531772123	0.685029014097992	1.0978173115880316	1.4882102740413385	2.4971050492311426	2.484985961672232	1.6061768898940214	0.0	2.8452547183856574	2.340515848313319	0.0	1.664115747027019	2.7504307823873115	0.685029014097992	1.2844245061604138	0.29236945780923623	1.753657224783784	0.0	0.29236945780923623	1.414527240032134	0.0	0.0	0.4655350620741447	2.1349167614146016	3.4124230315384976	0.0	4.135922438041395	3.3809706817226886	2.894746608695996	3.173685651303768
SRR39238446	3.0718033929672752	1.4104361578929014	0.6331961455482108	1.8148961623331854	1.242703472381015	1.281832454187931	0.8306068339935376	2.215417006535353	0.0	0.2611024876599845	1.0983171503595666	2.7461826742602486	0.6331961455482108	0.42302495622695463	2.955994079063298	0.42302495622695463	4.204263616765552	0.6331961455482108	0.0	2.2240508133642964	0.2611024876599845	1.8037901434636976	0.9252571828805671	2.7037105191978523	1.5095303968625478	0.0	1.7562874635425259	2.2043776339845507	0.42302495622695463	1.1519584822101576	0.7742217647224208	0.8306068339935376	0.0	0.0	1.037104204221861	0.7742217647224208	0.6331961455482108	0.0	0.8805054392676404	0.7094082719116408	2.0406460607404893	0.6331961455482108	0.0	0.0	1.300149698242571	4.005870468145926	0.5407020952454931	1.890210436222177	2.1367643675609647	2.171885473026494	1.4983114942803886	2.3195852774443857	1.0983171503595666	2.45669520397333	2.786627708994048	2.5051692863625146	1.5415464570589317	0.0	1.846605512932508	0.2611024876599845	1.876156359997131	1.4241317697278084	0.8805054392676404	1.037104204221861	0.2611024876599845	2.23875888825765	4.527357196803851	0.42302495622695463	3.6428436598980083	0.8805054392676404	0.0	0.0	1.70294354595898	0.5407020952454931	3.4290785736863714	1.242703472381015	1.7923926451582315	0.0	0.0	0.2611024876599845	0.2611024876599845	1.7923926451582315	0.2611024876599845	0.0	0.0	1.3346176703898773	0.0	0.6331961455482108	0.2611024876599845	0.0	0.2611024876599845	0.0	0.7094082719116408	0.6331961455482108	3.01412401674928	1.2217322698959874	0.6331961455482108	0.0	0.6331961455482108	0.9252571828805671	0.0	0.0	0.7742217647224208	0.2611024876599845	0.42302495622695463	1.4502916662201304	0.7094082719116408	1.281832454187931	0.5407020952454931	0.42302495622695463	2.1341435984831136	1.5311344963543565	1.6659367157486642	1.5204667704998132	1.4628034951602635	0.0	0.2611024876599845	2.7747644555424693	0.6331961455482108	1.3346176703898773	0.2611024876599845	0.0	1.9170236356270876	1.1519584822101576	1.4628034951602635	0.0	0.0	2.0471178951563935	0.8306068339935376	0.0	2.425588057432555	0.2611024876599845	0.0	0.0	0.6331961455482108	0.6331961455482108	0.0	1.650203424774111	2.264818789057111	0.8805054392676404	0.5407020952454931	1.962255080248962	1.0983171503595666	1.1259654705151796	1.1519584822101576	1.037104204221861	2.5237825765889093	0.0	0.0	0.2611024876599845	1.037104204221861	0.0	0.0	1.0687882661673813	0.8306068339935376	0.42302495622695463	2.162137307794359	0.0	2.914887066876842	1.281832454187931	1.9960509267891493	1.7435530907840366	1.1519584822101576	2.3847611104026925	0.9252571828805671	0.2611024876599845	2.1571799254105923	0.0	1.5311344963543565	0.9658252482307295	1.199696801948187	0.0	0.7094082719116408	0.5407020952454931	4.21996903297986	0.0	2.6980074151202476	2.5865426583062368	0.9658252482307295	0.7742217647224208
SRR39238447	0.0	2.224211590349636	0.0	1.6226909057017322	0.5788425649308021	2.0829516168730557	0.2856904312243756	3.5842962416745032	0.0	0.2856904312243756	1.0130866339095363	1.4469588127302009	0.2856904312243756	0.0	2.837447435701853	0.5788425649308021	4.649267589777536	0.0	1.2925182016807515	1.795317162674379	0.0	0.0	1.249214268640288	3.1859994659957476	0.2856904312243756	0.8758793858705349	0.0	1.6506747126490469	0.0	0.0	0.2856904312243756	1.1748989408349864	0.0	0.0	1.8080774526924808	0.9265859473158466	1.6506747126490469	0.0	0.0	1.4469588127302009	0.6741597112239266	0.0	0.0	0.0	0.0	4.041966860633949	0.0	2.243089279950722	1.4611645068155017	2.243089279950722	0.4565456919487658	1.6596158043774185	0.2856904312243756	0.0	0.7522757911887356	2.8841983591982494	0.5788425649308021	0.0	1.4013209782203084	0.0	1.331893069067273	0.0	0.9719863390636915	0.0	0.0	0.2856904312243756	3.7205057783429494	0.0	3.4644525804692514	0.9265859473158466	0.2856904312243756	1.367992923843106	1.9086505814234356	0.6741597112239266	2.0862776592581493	0.2856904312243756	1.249214268640288	0.0	0.0	0.0	0.9719863390636915	0.7522757911887356	0.0	0.6741597112239266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7522757911887356	0.0	2.813282681066627	1.6415456688158967	0.0	0.0	0.0	0.0	0.0	0.0	1.4749202153114134	0.0	0.0	0.0	0.0	0.0	0.6741597112239266	0.0	2.438690972633316	0.4565456919487658	0.8184601452527792	2.159299795440791	0.0	0.0	0.0	2.048210262261159	1.1748989408349864	2.375426356411018	0.0	0.0	0.7522757911887356	0.8184601452527792	1.2011093280094594	1.676964015172372	0.0	0.0	0.5788425649308021	0.0	1.877643902510494	0.0	0.0	0.0	0.6741597112239266	0.5788425649308021	0.0	1.6415456688158967	2.6590213483762786	0.0	0.0	2.6296953643806726	1.432272694074091	1.5493943474504823	1.9776767909494248	1.1171947701010698	1.1171947701010698	0.0	0.4565456919487658	0.0	1.2714057464751642	0.0	0.6741597112239266	0.2856904312243756	1.5606535432342878	2.033496307581177	0.2856904312243756	0.0	3.565913845300131	0.0	0.0	0.4565456919487658	3.790932125066969	0.2856904312243756	0.4565456919487658	0.0	0.9265859473158466	0.0	0.0	2.2655879224219793	0.0	0.0	0.2856904312243756	1.225827505406182	3.868529049451211	0.0	3.5187519081164225	1.5493943474504823	1.1171947701010698	1.8017441708004052
SRR39238448	0.44450239803337643	1.2083045776158257	0.2767983944255344	1.0999929519398024	0.44450239803337643	0.955360022015592	0.2767983944255344	2.067779209336786	0.0	0.0	0.9101825742754751	2.3139452917598993	0.2767983944255344	0.0	2.205670631536326	0.7369799653598155	4.707190024454429	0.0	0.955360022015592	2.3213972800903737	0.0	0.0	1.4702177332491575	2.767088910850351	0.7369799653598155	0.8026911139926085	0.0	2.007472894495887	0.0	0.0	0.0	1.3325132634830577	0.0	0.0	1.8258701654269271	1.623325874845646	2.23368100787721	0.0	0.0	0.9101825742754751	0.6595227316909092	0.0	0.0	0.0	0.0	4.51628404742856	0.0	2.1884561071429958	1.4143219251203654	2.2557175239162848	0.0	1.3671067220719884	0.2767983944255344	0.0	0.9101825742754751	2.2128444038425408	0.0	0.0	1.0999929519398024	0.0	1.4569036555437582	0.0	0.565185972677013	0.0	0.0	0.2767983944255344	2.6929252123517395	0.0	2.6359552222136617	1.4289846562546453	0.0	0.8597540176209408	2.603434474514153	0.9101825742754751	2.6332612002275306	0.0	1.495680606713489	0.0	0.0	0.0	0.0	1.0680961889229745	0.0	0.0	0.0	0.0	0.0	0.2767983944255344	0.0	0.0	0.0	0.0	0.44450239803337643	0.0	2.5311682095567094	1.5848008401904863	0.2767983944255344	0.0	0.0	0.0	0.0	0.0	1.1836525923325527	0.0	0.0	1.4831357556705378	0.0	0.0	0.0	0.0	1.443168466928365	0.0	0.2767983944255344	1.9144666499560696	1.1575166208473044	0.0	0.0	1.0680961889229745	1.495680606713489	1.9717970534375935	0.0	0.0	0.0	0.6595227316909092	1.0680961889229745	1.7291360802372622	0.0	0.0	0.0	0.0	1.632445876831182	0.44450239803337643	0.0	0.565185972677013	0.2767983944255344	0.2767983944255344	0.0	1.4143219251203654	2.676930877049207	0.0	0.0	2.511351096839703	0.8597540176209408	0.8026911139926085	2.0112618546368455	0.955360022015592	0.2767983944255344	0.0	1.2748343456780264	0.0	0.44450239803337643	0.0	0.0	0.2767983944255344	2.0577273343773728	1.7291360802372622	0.0	0.0	2.310170792232392	0.0	0.0	0.2767983944255344	3.5215945638166772	0.0	0.2767983944255344	0.0	0.565185972677013	0.0	0.44450239803337643	1.2083045776158257	0.0	0.0	0.0	1.1836525923325527	3.2843816092541576	0.0	2.4036089560095024	1.7769677388532394	0.7369799653598155	2.080829733889507
SRR39238449	0.0	1.2992814795667325	0.0	1.3714997360688406	0.8065605852334109	1.0004059734767041	0.0	3.0847409154674974	0.27896731850895873	0.0	1.3184927184115625	1.0722948584196617	0.0	0.6631108736128443	2.391031102661061	1.7478548012040447	4.771187480346165	0.0	0.5685309208521323	2.488859282934646	0.0	0.0	0.863712157230982	2.740812928037159	0.9142099285821297	0.0	0.27896731850895873	3.3843021285515436	0.0	0.0	0.0	0.7407317719690407	0.0	0.0	1.5686405976855529	0.5685309208521323	1.6798695232676164	0.0	0.0	0.27896731850895873	0.27896731850895873	0.0	0.0	0.0	0.0	3.898737279833149	0.0	2.078904113121654	2.2314079651742356	1.6369285428110294	0.0	1.0722948584196617	0.4474480511162572	0.0	0.4474480511162572	2.088583466712282	0.5685309208521323	0.0	1.037836194188401	0.0	0.863712157230982	0.27896731850895873	0.5685309208521323	0.0	0.27896731850895873	0.6631108736128443	2.5062776854490103	0.0	2.810279320772284	0.0	0.0	0.0	2.5842152509555425	0.6631108736128443	2.327807871079928	0.0	1.1042192797706485	0.0	0.0	0.0	0.0	0.9142099285821297	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.27896731850895873	0.0	2.8523811028823665	1.2126110038286164	0.0	0.0	0.0	0.0	0.0	0.0	0.5685309208521323	0.0	0.0	0.0	0.0	0.0	0.5685309208521323	0.0	1.3878224077731833	0.5685309208521323	0.6631108736128443	1.7037335090414103	0.27896731850895873	0.0	0.0	0.9142099285821297	1.1042192797706485	1.6631990892715383	0.0	0.27896731850895873	0.9142099285821297	0.0	0.95944290661242	0.9142099285821297	0.0	0.4474480511162572	0.0	0.0	1.7037335090414103	0.27896731850895873	0.0	0.0	0.0	0.27896731850895873	0.0	1.2126110038286164	2.6166102800146795	0.7407317719690407	0.0	1.41873514217709	0.4474480511162572	1.1339568165001745	1.037836194188401	0.4474480511162572	1.037836194188401	0.0	0.27896731850895873	0.4474480511162572	2.0269800816721215	0.0	0.0	0.0	1.8743466289866921	1.4035537599008483	0.27896731850895873	0.0	2.518305108945103	0.4474480511162572	0.0	0.5685309208521323	3.9553926512775663	0.0	0.4474480511162572	0.0	0.863712157230982	0.0	1.0722948584196617	1.037836194188401	0.0	0.0	0.0	0.4474480511162572	3.73831919223419	0.0	3.7113380390555752	1.1339568165001745	0.0	2.131103070267295
SRR39238450	3.2163455969283277	1.328082561921825	0.6902887337450566	1.4272734580591344	0.6902887337450566	1.1993155297073783	0.7544442515221321	2.3459599261839887	0.2504710163512361	0.2504710163512361	1.4011675112328026	2.3224178633672494	0.4083109050870417	0.8103309081340347	2.9333200118516243	0.4083109050870417	4.6462555528298894	0.8103309081340347	0.0	2.8556596289877136	0.2504710163512361	1.0763828987361037	1.0469911504665732	2.639064408846785	1.6651317161668011	0.0	1.0469911504665732	2.521907707483026	0.0	0.7544442515221321	0.5238280253164722	0.9814697672956301	0.0	0.0	0.8598388975116047	1.3733913734446497	0.6902887337450566	0.0	0.8598388975116047	0.0	2.5552347262845334	0.4083109050870417	0.0	0.0	0.6149853724529099	3.9762250838280284	0.5238280253164722	2.3076546580303727	1.8573266332011027	2.302619920261872	1.103910964007561	2.185090838356582	1.103910964007561	1.6347924608015958	2.458391158854042	2.695860448573282	1.1993155297073783	0.4083109050870417	1.9062344206490465	0.0	1.672396557299441	0.9814697672956301	1.0469911504665732	0.6149853724529099	0.2504710163512361	1.4973188841826748	3.05872451389756	0.5238280253164722	3.249818433810894	1.015464928382302	0.0	0.4083109050870417	1.8478107757969713	0.5238280253164722	2.798158844609701	0.8598388975116047	1.7451891060864475	0.0	0.0	0.0	0.6149853724529099	1.7802877206734409	0.6149853724529099	0.2504710163512361	0.0	1.328082561921825	0.0	0.0	0.0	0.0	0.2504710163512361	0.2504710163512361	0.2504710163512361	0.4083109050870417	3.638633591783264	1.4397606080677032	0.9042762631825587	0.0	0.2504710163512361	1.015464928382302	0.0	0.0	0.0	0.4083109050870417	0.6902887337450566	1.1773565052332324	0.4083109050870417	1.154227771182578	0.0	1.1297976655661681	1.6021734894068649	0.6902887337450566	1.451898730598882	1.6187891461875603	1.5285153981968813	0.0	0.2504710163512361	1.3437166397988054	1.103910964007561	1.4397606080677032	1.22021748429539	0.0	1.9267661069067947	1.154227771182578	1.3875014640325085	0.6149853724529099	0.0	1.3875014640325085	0.0	0.0	2.615897895344234	0.6902887337450566	0.2504710163512361	0.4083109050870417	0.6902887337450566	0.6902887337450566	0.0	1.5481338074239583	2.1182479210851732	0.5238280253164722	0.6149853724529099	1.9577224116874874	1.451898730598882	1.1993155297073783	1.7201080164169882	0.9814697672956301	1.7390533159222166	0.2504710163512361	0.5238280253164722	0.0	1.3118645912417033	0.0	0.0	0.8103309081340347	0.9445858534474915	0.8103309081340347	1.6865715224693831	0.0	2.3175523440442025	0.7544442515221321	1.1773565052332324	1.53843537133167	0.9814697672956301	1.9831096521506228	0.4083109050870417	0.2504710163512361	1.828129742661968	0.0	1.3875014640325085	0.9042762631825587	0.4083109050870417	0.4083109050870417	0.6149853724529099	1.2774902372032328	4.329553742837272	0.0	3.4929968372004843	2.955650099186256	1.1993155297073783	0.6902887337450566
SRR39238451	2.225687283133084	1.3636493621627723	0.0	1.845524145966004	0.3768276582449738	3.503306983264185	2.8046937358162407	3.071119808753866	0.575505197608355	0.8980046746220438	1.693270433556026	1.9091263791659097	1.5154977564023966	0.0	3.134507019731712	0.8980046746220438	4.289583572545839	0.0	0.3768276582449738	1.244932184231555	0.7113113301865466	0.0	2.6714374872660387	3.009967732267185	1.1281525974933058	0.0	0.0	3.7315679005034967	0.0	1.7282906427040174	1.2777894401857257	0.575505197608355	0.8980046746220438	0.0	1.693270433556026	0.3768276582449738	3.0203951389948323	0.0	0.0	1.456783204087112	1.4127080666145693	1.2777894401857257	0.0	0.0	0.0	3.680355878505161	0.0	1.1281525974933058	3.0796927777460463	2.453596148965741	0.8146136016318973	2.3436813161961245	0.575505197608355	0.0	1.244932184231555	2.2729677488990663	0.8146136016318973	0.0	1.862319030481109	0.0	1.4967945545942665	0.8146136016318973	1.2093840912440468	0.0	0.0	0.3768276582449738	3.3904199093675538	0.575505197608355	2.451479946585171	1.0281489498640606	2.0019886258150272	0.0	2.6701572273110497	1.3368721009705729	1.7052603591347641	0.8146136016318973	2.9289914750642754	0.3768276582449738	0.8146136016318973	0.0	0.967933693509645	1.0281489498640606	0.0	0.7113113301865466	0.0	0.575505197608355	0.575505197608355	0.575505197608355	0.0	1.0281489498640606	0.0	1.244932184231555	1.7709824250427668	0.7113113301865466	2.574439230833927	2.4977200096358896	1.0810228781139397	0.3768276582449738	0.0	1.2093840912440468	0.0	0.0	0.3768276582449738	0.0	0.0	0.0	0.0	0.0	0.0	1.1281525974933058	2.285582116087669	1.6277879446298165	1.693270433556026	1.4967945545942665	1.3083347184634124	0.0	0.0	1.5831659510531733	0.8980046746220438	1.923671141041417	0.0	0.0	2.4493533819960507	1.1706647992779073	1.1281525974933058	0.0	0.0	1.6416981664832766	1.1706647992779073	0.0	3.701618383077228	2.1075031331774707	0.7113113301865466	0.0	0.575505197608355	0.967933693509645	0.0	2.582358060808256	4.3672648482992065	1.8098506063402908	0.3768276582449738	2.8381715604402094	1.4353045258977055	0.7113113301865466	2.960988196413646	1.5154977564023966	2.596257959626863	0.0	2.192327435324291	0.3768276582449738	2.102793956291837	0.575505197608355	1.1706647992779073	2.3517627539063204	1.693270433556026	2.303842200419803	1.5154977564023966	0.0	3.3558759449019626	1.6682493734823176	0.0	1.3888710665944246	1.9774192679030782	0.0	2.0137709927455596	0.0	2.0195444341786524	0.0	0.575505197608355	1.0281489498640606	0.0	0.0	1.0810228781139397	2.1347337419316306	3.910701152803458	0.0	2.8442248575629114	1.7052603591347641	1.550648460416341	3.711522034433992
SRR39238452	1.6431069521612558	0.8041819334375812	0.9978684293443276	2.508317301661457	0.27763302590010797	2.209833119040623	1.185305889853608	2.815860444893982	0.5664742267701885	2.024186552446246	0.9569333024617418	1.9652045149361028	0.6609048860075547	0.4456365491740236	2.777375636978786	0.4456365491740236	4.564732689845804	0.0	1.1313444858070476	2.161702514572801	0.0	1.8969340836187827	1.9693958837435905	3.208138194778575	1.069714218017706	0.27763302590010797	0.0	2.9305638561253455	0.0	0.6609048860075547	2.9373525526511886	0.9117343959238093	0.27763302590010797	0.0	2.1927150970140477	2.2659876609297305	2.2804919291870624	0.9569333024617418	0.0	0.6609048860075547	1.7976979457801239	1.2099642591956419	0.0	0.0	0.0	3.098347911480574	0.0	2.3286641970422104	1.9162141260637844	2.545289330831512	0.0	2.027847885670929	1.2765095520367034	0.0	1.6852086784356612	2.0761075878150237	0.27763302590010797	0.0	1.5329943130850525	0.0	1.7086402741809283	0.5664742267701885	0.4456365491740236	0.0	0.27763302590010797	0.8612790947070205	2.3042821071628925	0.0	3.0695149615280237	1.3687998780519794	0.0	0.0	2.6578373371043935	0.7384253308826981	3.4929678596963925	0.27763302590010797	2.0889653510008412	0.27763302590010797	0.27763302590010797	0.0	0.27763302590010797	1.5442410860107876	0.27763302590010797	0.9569333024617418	0.0	1.4448738045579763	0.0	0.27763302590010797	0.4456365491740236	0.27763302590010797	0.4456365491740236	0.0	0.9978684293443276	1.7851301664186336	3.06485266492444	1.809912239284049	0.4456365491740236	0.0	0.27763302590010797	0.9978684293443276	0.0	0.0	0.4456365491740236	0.0	0.0	0.4456365491740236	0.0	0.27763302590010797	1.185305889853608	0.9978684293443276	1.9436185467780895	1.4306878811098331	1.4848466885493272	2.197675194944045	1.069714218017706	0.0	0.27763302590010797	1.9480224261508492	1.6250528207470736	2.751294777241898	0.0	0.27763302590010797	2.1748945717944244	3.235427308269597	0.8612790947070205	2.2122243881827783	0.0	3.484897389044377	0.6609048860075547	0.27763302590010797	0.27763302590010797	2.801978587022027	0.0	0.5664742267701885	0.4456365491740236	1.7588479226711997	0.0	1.8446200561239938	2.943594334929879	0.8612790947070205	0.4456365491740236	2.4099326435256847	1.7914595159122664	1.9346745104608893	2.335899073110926	1.8501442976361329	2.489840040593147	0.0	1.4586109743905462	0.0	1.677108532160137	1.3518444795399793	0.6609048860075547	0.4456365491740236	2.459887350657509	1.5442410860107876	0.8041819334375812	0.0	2.072832774468041	0.0	0.0	3.094924863906281	0.9117343959238093	0.8612790947070205	1.5658968639600057	0.0	1.4848466885493272	0.0	0.27763302590010797	0.5664742267701885	0.0	0.0	0.5664742267701885	1.7976979457801239	3.1587309368270797	0.5664742267701885	4.493578935848061	2.7108740000927223	0.4456365491740236	2.392966893513738
SRR39238453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.898758020533045	0.0	0.0	0.0	0.47420146472328917	0.0	0.0	2.8065240162590097	0.0	4.326918924805308	0.0	0.0	1.6085043082454207	0.0	0.0	0.0	0.8992537222380854	0.0	0.0	0.0	0.5987738434760325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.582211648243075	0.0	2.029077501167677	1.4728811275696454	0.7744984353666682	0.0	0.6954638933356253	0.29884199553457175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.82175352898129	0.0	0.0	0.0	0.0	0.0	0.5987738434760325	0.0	1.781015033439361	0.0	0.0	0.0	0.5987738434760325	0.0	0.9503450775489634	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.855009496188037	0.29884199553457175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6954638933356253	0.29884199553457175	0.5987738434760325	0.0	0.0	0.0	0.0	0.47420146472328917	0.0	0.29884199553457175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.037406267505946	2.6439828400674896	0.0	0.0	0.29884199553457175	0.47420146472328917	0.0	0.0	0.47420146472328917	0.0	0.0	0.0	0.0	0.6954638933356253	0.0	0.0	0.0	0.29884199553457175	0.0	0.0	0.0	0.8992537222380854	0.0	0.0	0.0	0.29884199553457175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0245947505290616	0.0	0.6954638933356253	1.2511303184811668	0.6954638933356253	0.0
SRR39238454	0.289102401875727	2.942914527117086	0.0	0.0	0.289102401875727	0.0	0.0	1.207717860336619	0.0	0.4611438723425628	1.2558689834841028	0.4611438723425628	0.0	0.0	1.9930804462044538	0.0	4.693661932950082	0.0	0.0	2.798667011136644	0.0	0.0	0.6797253791983517	3.4018402999928434	1.467971442621701	0.0	0.0	3.0353930635677338	0.0	0.0	0.289102401875727	0.289102401875727	0.0	0.0	0.4611438723425628	0.0	0.289102401875727	0.0	0.0	0.4611438723425628	0.0	0.0	0.0	0.0	0.0	4.442943145200159	0.289102401875727	2.6910232468356887	1.5205862345740484	1.0570574802822488	0.0	1.8899250992959444	0.0	0.0	0.0	1.8334858503181362	0.0	0.0	0.8244456083388234	0.0	1.9672878202056752	0.0	0.0	0.0	0.0	0.0	2.4917576423887313	0.0	3.149010921212026	0.0	0.0	0.0	0.8819966782455779	0.5840434644721291	1.747081433204326	0.0	0.289102401875727	0.0	0.0	0.0	0.289102401875727	0.289102401875727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4611438723425628	0.0	1.9205732468716752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8819966782455779	0.0	0.289102401875727	0.5840434644721291	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4817346934799325	0.0	0.0	0.0	0.0	0.0	0.0	0.6797253791983517	0.8819966782455779	0.0	0.0	0.5840434644721291	0.0	0.0	0.289102401875727	0.0	0.978288710486273	0.0	0.0	0.0	3.2775013258705665	0.0	0.6797253791983517	0.0	0.0	0.0	0.0	0.0	1.8274165654020202	0.0	0.0	0.0	0.289102401875727	0.289102401875727	0.0	0.0	1.0570574802822488	0.0	0.289102401875727	1.1814800700605645	0.0	0.0	0.0	0.0	3.8010429997363673	0.0	3.3792814829983815	1.2558689834841028	0.4611438723425628	0.0
