SAMPLE_ID	Acidimicrobiia	Acidithiobacillia	Acidobacteriia	Actinobacteria	Alphaproteobacteria	Anaerolineae	Aquificae	Ardenticatenia	Bacilli	Bacteroidia	Betaproteobacteria	Blastocatellia	Caldilineae	Caldisericia	Calditrichae	Candidatus Babeliae	Candidatus Brocadiae	Candidatus Saccharimonia	Chitinophagia	Chlamydiia	Chlorobia	Chloroflexia	Chrysiogenetes	Chthonomonadetes	Clostridia	Coprothermobacteria	Coriobacteriia	Cytophagia	Deferribacteres	Dehalococcoidia	Deinococci	Deltaproteobacteria	Dictyoglomia	Elusimicrobia	Endomicrobia	Epsilonproteobacteria	Erysipelotrichia	Fibrobacteria	Fimbriimonadia	Flavobacteriia	Fusobacteriia	Gammaproteobacteria	Gemmatimonadetes	Gloeobacteria	Halobacteria	Hydrogenophilalia	Ignavibacteria	Kiritimatiellae	Ktedonobacteria	Limnochordia	Methanobacteria	Methanococci	Methanomicrobia	Methylacidiphilae	Mollicutes	Negativicutes	Nitriliruptoria	Nitrososphaeria	Nitrospira	Oligoflexia	Opitutae	Phycisphaerae	Planctomycetia	Rubrobacteria	Saprospiria	Spartobacteria	Sphingobacteriia	Spirochaetia	Synergistia	Tepidiformia	Thermococci	Thermodesulfobacteria	Thermoleophilia	Thermomicrobia	Thermoplasmata	Thermoprotei	Thermotogae	Tissierellia	Verrucomicrobiae	Vicinamibacteria	Zetaproteobacteria
SRR39238445	2.128975123334536	1.1850308865558912	2.4639762500045626	3.6853902859214016	3.8350088717511817	1.799468121676933	0.8852999350944659	1.022894545431205	3.347159192645023	4.4585501271804775	3.8195915380334347	1.322978624530167	0.8852999350944659	1.259459036945928	0.0	0.0	0.0	1.2816806237938636	2.9573535443499184	1.127224755387766	0.463633499842911	1.302820328836375	0.0	0.0	3.837485884055179	0.0	2.6662871891297533	3.143677564099003	0.29095365285586944	2.04797223506843	1.1850308865558912	3.2705432065768147	0.0	0.8276784310291313	0.8852999350944659	3.390561925956668	3.1279168984944477	0.0	1.8372303393800213	2.838775136132771	2.3617116285537922	3.941553124572566	2.999159606659138	0.5868564286824355	0.0	0.7612250742705512	0.463633499842911	0.29095365285586944	0.29095365285586944	0.0	0.463633499842911	0.0	1.6789953334600665	1.322978624530167	2.7047418006493675	4.137247478793835	1.661283948078914	0.0	1.2360388306110752	1.9926478424002319	2.404568082030651	0.0	1.5483736003889226	2.01322499307925	2.2785659425466225	0.29095365285586944	2.494219558574174	1.6033540724918791	2.747541205558364	1.2816806237938636	0.0	0.29095365285586944	1.0951543807033755	1.7433957787023595	0.0	0.0	0.8852999350944659	3.4143441771496	3.3780771532537086	2.3653001466963843	0.5868564286824355
SRR39238446	1.8131680122438356	1.2410489496000312	1.4224429110525583	3.230779451636325	2.186691662829383	2.7444307472965748	0.6318501118953403	0.42193334005128885	3.3039030849842668	4.202709906630642	3.069442489323654	1.4485989366036023	1.507829717305578	0.0	1.7545632044583472	0.42193334005128885	1.1503273241236471	0.8291114321156927	0.6318501118953403	0.8291114321156927	0.8789818589821885	0.7079964279770123	0.0	1.2984827174690863	4.015410862463082	0.5394530943794771	2.1796761252600825	2.1701422292736083	1.496612238288432	2.776605428833277	1.2200827214556482	3.2793109026919507	0.2603103279294389	1.0355105545698187	2.2370139550747283	2.2223062297660015	3.6410889782453117	0.0	0.0	1.7012233149767317	3.4273241465650366	4.5382051986165015	1.7906659273156371	0.0	0.2603103279294389	0.0	1.3329439683331459	0.2603103279294389	0.6318501118953403	0.0	0.7727623517002596	0.42193334005128885	1.3799948524162504	0.5394530943794771	3.092520083795637	2.725394608173233	1.597553417271188	0.0	1.9152898420225535	0.42193334005128885	0.5394530943794771	0.2603103279294389	1.473268761914876	2.5220327595848424	0.0	0.0	0.8291114321156927	2.1725453962596215	1.1503273241236471	0.9237109409456155	0.0	1.5294311769043454	0.0	1.2984827174690863	1.4611089949550577	2.1324014295214804	0.9642603857523969	4.231115440680904	2.5847921328921175	1.9906859254948095	0.0
SRR39238447	1.6199537498542091	0.5767796580193069	2.136455887719072	3.9043786742028774	2.899483509572125	1.4442551019342362	0.2843409898840646	0.0	3.1249447667707067	4.646463432854846	3.2834084946694455	1.1722827485920762	0.2843409898840646	0.8734494043306706	0.0	0.0	0.0	1.1722827485920762	1.6479333720971732	0.5767796580193069	0.0	1.4442551019342362	0.0	0.0	4.039969380008192	0.0	2.296534180080646	2.2403011337055814	0.45472362254352466	1.6656326755783433	0.45472362254352466	2.9821864181224345	0.0	0.0	0.2843409898840646	1.6656326755783433	3.4616493259798378	0.2843409898840646	1.3653092523152053	1.9058810787978802	2.0834965027762227	3.8779154738865227	1.2465685092846628	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4722102379770148	0.0	0.0	0.6719508208982856	0.8734494043306706	3.5395321744460935	1.2231905114053292	0.0	0.7499689536109592	1.3476393145314418	1.6742189814818698	0.0	0.9241147412988147	1.1146052900187373	0.45472362254352466	0.0	1.5579266843391564	0.2843409898840646	3.7881283603404143	0.45472362254352466	0.0	0.0	0.6719508208982856	2.26498595239446	0.0	0.0	0.816083036707649	3.86942919890931	1.5466695202004663	2.0193466852980135	0.0
SRR39238448	1.103507510693453	0.4469513564734159	1.5783261600926894	2.8325070654616487	2.780715934410395	2.3177433446290294	0.2786013237437959	0.0	2.7226418809243675	4.711006445339401	2.8466342458138234	1.1332410221355858	0.7400996316782816	0.8059086930431747	0.0	0.0	0.0	1.3361530196908182	2.2374753168742854	0.0	0.0	0.9135315401774656	0.0	0.0	4.520536529581586	0.0	2.263789370533404	2.259512930617956	0.0	1.3707600127841806	0.2786013237437959	2.439801233967793	0.0	0.0	0.2786013237437959	2.011252038827097	2.63976293134819	0.0	0.8630453835719472	2.6072415004455434	2.637068854688666	3.1949970285105405	1.4993757247273027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1872200703219828	0.0	0.0	0.0	0.5679671126167773	2.435524008319911	1.4739055210081071	0.0	0.0	1.1332410221355858	1.7328816738914712	0.5679671126167773	0.5679671126167773	0.2786013237437959	1.278448993122889	0.0	2.0615105602620845	0.2786013237437959	3.5254099159625456	0.2786013237437959	0.0	0.4469513564734159	0.0	1.2352256106709647	1.4868273159856078	0.0	0.5679671126167773	3.309585456389512	1.7807207272626557	1.8296299173844683	0.0
SRR39238449	1.3739402521610327	0.8087122599472655	1.2150037862503926	3.338736878949772	2.09429054652053	1.074628216646883	0.0	0.6651071140453937	2.9842259778836984	4.773735990869155	2.7974131436633543	1.1065678928186122	0.916448765149692	0.0	0.28017705256398995	0.0	0.0	0.7428184560605875	1.6823649667237868	0.0	0.0	0.28017705256398995	0.0	0.0	3.9066859703727195	0.0	2.1036909921051596	1.639418466236573	0.0	1.074628216646883	0.44908872996529703	2.3134658783582176	0.0	0.0	0.6651071140453937	3.387172516369895	2.8128239411609934	0.0	0.0	2.5867571852739673	2.3303444787571954	3.015707421459085	1.1065678928186122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5703926708364198	0.0	0.0	0.5703926708364198	0.6651071140453937	3.7242571686751673	0.6651071140453937	0.28017705256398995	0.916448765149692	1.770846213258117	0.916448765149692	0.44908872996529703	0.28017705256398995	1.040151777534327	0.28017705256398995	0.0	1.876861244217074	0.28017705256398995	3.957940923239905	0.44908872996529703	0.0	1.074628216646883	0.0	1.040151777534327	0.0	0.0	0.28017705256398995	3.781830227001265	1.1363186647602421	1.5711205370736638	0.0
SRR39238450	1.430558825138138	0.6930071034094856	1.4176981599933276	3.1590871400287504	2.3447494812700125	2.325814153763544	0.6175722013317808	0.8132170018164037	3.721910301286973	4.649759752424606	2.7327519261809763	0.6930071034094856	1.668470688801517	0.0	1.050098461721711	0.0	0.7572580079447393	0.9845273651170054	0.6930071034094856	0.0	0.8627817329624976	0.0	0.0	0.6175722013317808	3.986596125691283	0.526221798136477	2.3997838723113505	2.306015456027087	1.107055771609724	2.383146009515344	1.2433763826514308	3.0851900556169976	0.0	0.6175722013317808	1.500623185647051	2.537366884788717	3.2532289910328416	0.0	0.41039378567429935	1.8511749864207863	2.8015659039605714	3.3765313932263963	1.7485404525015142	0.0	0.6930071034094856	0.0	1.3313353107926482	0.25196989497874306	0.41039378567429935	0.0	0.0	0.6930071034094856	1.28072324854812	0.0	3.2315368353394374	3.50192654429649	1.4670024037627127	0.0	1.9301383401195178	0.41039378567429935	0.8627817329624976	0.41039378567429935	1.2433763826514308	1.7424037925885503	0.526221798136477	0.0	0.9476119817825173	1.754591607098075	0.9845273651170054	0.41039378567429935	0.0	1.3907746396941416	0.0	1.1329579658270723	1.180542968617033	1.376659948411468	0.7572580079447393	4.3337110716244105	2.959058804094299	2.069600889486268	0.0
SRR39238451	1.8407691319340085	0.37403576926074644	3.558032972850977	3.850297191042044	3.3163959727003585	1.9043619347407839	1.510821517312836	0.0	3.2388570170596784	4.285190526612689	3.062206070152739	0.7074291097136958	1.1236893576289306	0.0	0.0	0.0	1.7235570793662767	0.5719682986422545	3.0155755250557967	1.1661679087776728	0.0	1.4521283858342109	0.0	0.0	3.694643193708747	0.0	1.6504597049135399	2.448788976672789	0.8105321361212472	2.3949185355838742	0.8105321361212472	2.531218789462636	0.0	0.0	0.37403576926074644	3.726744558070651	2.446672857672171	1.9972126703691369	0.0	2.665343352478398	1.7005317336788814	4.571565956713265	2.9241729453655676	0.8105321361212472	0.0	0.0	0.5719682986422545	0.0	0.7074291097136958	0.37403576926074644	0.37403576926074644	0.0	0.0	0.0	2.3469600923251313	2.922757686379261	1.4921248274580279	0.0	2.4445463772815446	1.0766009998838206	0.37403576926074644	0.37403576926074644	1.3590350567409772	2.5914460079045503	2.1875343458666916	1.430658295671801	1.6885444843527377	1.6762169524463624	1.972646122786768	2.008993744957292	0.0	0.5719682986422545	1.1661679087776728	2.370338357654586	0.0	0.0	1.8737284645470424	3.908009203976681	1.7005317336788814	1.8051015183935726	0.0
SRR39238452	2.539979578357701	0.292922485113723	2.4370078164342845	3.387786569213717	3.2040104175906463	1.9966298945122534	0.6859243290096646	0.46627725422930355	3.2807428087593724	4.596605629550938	3.414356817490692	0.6859243290096646	1.0988554072070134	0.292922485113723	0.0	0.0	0.6859243290096646	0.9397228255110391	2.3120886561529432	1.1309486934977435	0.0	0.6859243290096646	0.0	0.0	3.1556607772738916	0.0	2.452034809165404	2.576959362308079	0.0	2.073671455649905	1.4313841388360788	2.7152504554761197	0.0	0.0	0.888800946940651	2.9631966024826046	3.1012461579950905	0.0	0.0	2.6895272910718298	3.524715308958719	3.3461204571069323	2.120473056160199	0.292922485113723	0.292922485113723	0.0	1.4755302209806853	0.46627725422930355	1.8163849041217417	0.0	0.46627725422930355	0.0	0.292922485113723	1.2150598308352565	1.8976479817697371	4.526058257847889	1.4755302209806853	0.292922485113723	2.2064470919668078	1.5968212781754827	2.2485392168676728	0.5898412526032644	1.83512398028974	2.5214981871376003	1.4893017097601708	0.5898412526032644	2.4915384171222676	0.9397228255110391	0.9397228255110391	1.5968212781754827	0.0	0.292922485113723	0.6859243290096646	0.7645534079346312	0.46627725422930355	0.0	1.1309486934977435	3.190466979300491	2.742571695666459	1.6467510673033416	0.0
SRR39238453	0.0	0.0	0.0	2.2419720163613146	0.7772579622011914	0.47640677122453057	0.0	0.0	4.866312829801185	4.330233682097162	1.040418097775583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.585517919211473	0.0	2.2394832512113427	0.7772579622011914	0.0	0.6981124829808129	0.3004942432702494	0.0	0.0	0.0	0.0	0.6012561146911972	1.78427526635208	0.0	0.0	0.6012561146911972	0.9532896033315308	2.6569415894554136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6012561146911972	0.9532896033315308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3004942432702494	0.0	0.3004942432702494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0291236202302043	1.2542599728849753	0.0	0.0
SRR39238454	0.0	0.291986997109561	0.6844094221101876	2.8966162236280995	0.8871389858324416	0.46502159015127614	0.0	0.0	2.2784811606115127	4.699575553644643	3.4190033138417935	0.291986997109561	1.4736851788983925	0.0	0.0	0.0	0.0	0.291986997109561	0.291986997109561	0.0	0.0	0.46502159015127614	0.0	0.0	4.449034395207582	0.291986997109561	2.7720371154385295	1.062455862090696	0.0	1.8957631518846125	0.0	1.901024650372679	0.0	0.0	0.0	3.041301389179136	3.154920493091778	0.0	0.0	0.8871389858324416	1.7528900057325063	2.5902937081574793	0.291986997109561	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.46502159015127614	3.718917757544661	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9835845348763088	0.0	0.0	0.0	0.0	0.291986997109561	0.0	0.0	0.291986997109561	0.6844094221101876	1.187006888888419	0.0	0.0	0.46502159015127614	3.80721551567918	1.2614567342925953	0.8294784949722773	0.0
