bugName	pval	p6M	s6M	Adjustedpval	Adjustedp6M
Alphaproteobacteria	0.00268519597321548	0.00268519597321546	0.422699991595775	0.0805558791964645	0.0805558791964639
Bacilli	0.00665745005448026	0.0066574500544803	0.54919512462796	0.0998617508172039	0.0998617508172045
Gammaproteobacteria	0.0279385026469452	0.0279385026469453	0.441607950603986	0.237397513435471	0.237397513435471
Sphingobacteriia	0.0316530017913961	0.0316530017913962	0.136925517620203	0.237397513435471	0.237397513435471
Verrucomicrobiae	0.0616008130880594	0.0616008130880595	0.414423623029589	0.298522371604608	0.298522371604608
Epsilonproteobacteria	0.0617223911568372	0.0617223911568372	-0.30110679211864	0.298522371604608	0.298522371604608
Fusobacteriia	0.0798054515680989	0.0798054515680989	0.394062843428765	0.298522371604608	0.298522371604608
Deferribacteres	0.0836484161327818	0.0836484161327819	0.116075107951	0.298522371604608	0.298522371604608
Cytophagia	0.0895567114813823	0.0895567114813824	0.176696319956717	0.298522371604608	0.298522371604608
Chitinophagia	0.123514804036881	0.123514804036881	-0.0646610671703455	0.370544412110642	0.370544412110642
Tissierellia	0.187828726036544	0.187828726036544	0.168328875567306	0.512260161917848	0.512260161917848
Dehalococcoidia	0.238002157771113	0.238002157771113	-0.100120609478565	0.554737382388027	0.554737382388027
Synergistia	0.240386199034812	0.240386199034812	0.0893419522083542	0.554737382388027	0.554737382388027
Flavobacteriia	0.303933346406609	0.303933346406609	0.170048684958148	0.651285742299876	0.651285742299876
Thermotogae	0.349903735228103	0.349903735228103	-0.052692088224483	0.677006478211622	0.677006478211622
Negativicutes	0.366595743649817	0.366595743649817	0.144937034913061	0.677006478211622	0.677006478211622
Spirochaetia	0.387643697056529	0.387643697056529	-0.189754272368981	0.677006478211622	0.677006478211622
Betaproteobacteria	0.423356697470174	0.423356697470174	0.0855445345715236	0.677006478211622	0.677006478211622
Coriobacteriia	0.428770769534027	0.428770769534027	0.103224117980937	0.677006478211622	0.677006478211622
Clostridia	0.50426262114567	0.50426262114567	-0.0772435649657809	0.743393207495164	0.743393207495164
Erysipelotrichia	0.539023124867204	0.539023124867204	-0.0967607655560088	0.743393207495164	0.743393207495164
Candidatus Saccharimonia	0.545155018829787	0.545155018829787	-0.0335703861265489	0.743393207495164	0.743393207495164
Deltaproteobacteria	0.595978768225281	0.595978768225281	0.0918422013441187	0.777363610728627	0.777363610728627
Actinobacteria	0.715116367883965	0.715116367883965	0.059856144895442	0.859186658183995	0.859186658183995
Oligoflexia	0.715988881819996	0.715988881819996	0.0385763604559615	0.859186658183995	0.859186658183995
Chlamydiia	0.765502272119787	0.765502272119787	0.0336490171573548	0.860309091787724	0.860309091787724
Bacteroidia	0.774278182608952	0.774278182608952	0.0380819284632164	0.860309091787724	0.860309091787724
Limnochordia	0.894021332387076	0.894021332387076	0.0104014778135194	0.957879998986153	0.957879998986153
Mollicutes	0.974074194690294	0.974074194690294	0.00467955729846039	0.99900126048657	0.99900126048657
Deinococci	0.99900126048657	0.99900126048657	-0.000114166806497852	0.99900126048657	0.99900126048657
