Acidaminococcaceae	Actinomycetaceae	Aeromonadaceae	Akkermansiaceae	Anaeroplasmataceae	Atopobiaceae	Bacteroidaceae	Barnesiellaceae	Bifidobacteriaceae	Burkholderiaceae	Campylobacteraceae	Carnobacteriaceae	Christensenellaceae	Clostridiaceae_1	Clostridiales_vadinBB60_group	Coriobacteriaceae	Coriobacteriales_Incertae_Sedis	Corynebacteriaceae	Defluviitaleaceae	Desulfovibrionaceae	Eggerthellaceae	Enterobacteriaceae	Enterococcaceae	Erysipelotrichaceae	Eubacteriaceae	Family_XI	Family_XIII	Fusobacteriaceae	Lachnospiraceae	Lactobacillaceae	Leuconostocaceae	Marinifilaceae	Micrococcaceae	Muribaculaceae	Pasteurellaceae	Peptococcaceae	Peptostreptococcaceae	Porphyromonadaceae	Prevotellaceae	Pseudomonadaceae	Rikenellaceae	Ruminococcaceae	Saccharimonadaceae	Staphylococcaceae	Streptococcaceae	Succinivibrionaceae	Tannerellaceae	Veillonellaceae	others	Alias	Assay.Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center.Name	Consent	DATASTORE.filetype	DATASTORE.provider	DATASTORE.region	ENA_CHECKLIST	ENA.FIRST.PUBLIC..run.	ENA.LAST.UPDATE..run.	Experiment	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	Instrument	Library.Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	sample_description	Sample.Name	sample_name	SRA_accession	SRA.Study	title	time	ID	prepost
ERR1624556	1.90565430044208	1.6342186742368	0	0.98094369171473	0	0.903762118311666	2.63925555806458	1.48583313441957	1.84239452261965	1.1987652602713	0	0.903762118311666	2.67786622822171	1.94579003370733	0.407953006287245	2.54414400953826	0.753960289623711	0	0	1.83750285519524	1.88850042287897	2.90119492254416	1.37282883776134	2.66194783436599	0	1.04645648550872	1.60998777060693	0	3.52763816851271	0.809834455809297	0	1.57542182221104	0.753960289623711	0	0	0	2.09921338032184	0	1.40060343421594	0	3.1743099175405	3.60756708973247	0	0	3.6570152045633	0	1.80693604862545	1.38693813304677	2.3282369155068	0355f060-1cde-11e6-9a08-68b599768938	WGS	500	13225000	PRJEB14082	SAMEA4008113	8204220	THE WELLCOME TRUST SANGER INSTITUTE	public	sra,cram,contigs	s3,ena,gs,ncbi	gs.US,s3.us-east-1,ncbi.public,ena	ERC000011	9/12/16	11/16/18	ERX1694921	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:24Z	public	Illumina MiSeq	16634291	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008113	ERS1179223	ERS1179223	ERP015690	P3_Post	Post	P3	1
ERR1624559	2.45496354292852	1.71069621671386	0	0	0	1.1490894047527	3.28558217926407	1.61589470284069	0.905881055633445	1.25828432074327	0	1.59417147911491	2.01599471476159	2.87475699831174	0	2.28192521386819	0	0	0	1.89524220688862	2.10696703967123	3.54886557802128	2.43614590122025	3.05970926756986	0	1.46547677665123	1.80247845587686	0	3.50887984843288	0	0	0.957077736457689	1.08210477635213	0	1.3252563314594	0	1.86047670643284	0	3.16932013589981	0	2.50696905725655	3.25066879640927	0	0	3.07359295298021	0	2.1934995356092	1.72740426101562	1.68436338445283	036bc250-1cde-11e6-9a08-68b599768938	WGS	500	10149000	PRJEB14082	SAMEA4008116	6407488	THE WELLCOME TRUST SANGER INSTITUTE	public	contigs,sra,cram	ena,s3,gs,ncbi	ncbi.public,ena,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694924	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:25Z	public	Illumina MiSeq	16634294	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008116	ERS1179226	ERS1179226	ERP015690	P16_Post	Post	P16	1
ERR1624560	2.77638976086075	1.91974925520956	0	1.88888126595238	0	0.516051703826939	2.83377230889129	0.953503699445605	2.74189538622811	2.03432015981177	0	1.3768220562227	0	2.18709755284453	0	3.15123916799632	0	0	0	2.53985806499857	2.31213555170341	3.4042713973617	2.66555479268482	2.53842652820306	0	1.28444761977094	1.99606389513399	0.745284633199581	3.35642314362277	0.953503699445605	0	0	1.19944615727594	0	0	0	2.48671382841394	0	1.19944615727594	0	2.22706037825568	2.98855584827293	0	0.516051703826939	3.58708829029747	0	2.3622468433505	3.16466801490716	0.826292472267587	03731550-1cde-11e6-9a08-68b599768938	WGS	500	8820000	PRJEB14082	SAMEA4008117	5515838	THE WELLCOME TRUST SANGER INSTITUTE	public	sra,contigs,cram	gs,ncbi,s3,ena	ena,ncbi.public,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694925	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:25Z	public	Illumina MiSeq	16634295	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008117	ERS1179227	ERS1179227	ERP015690	P17_Post	Post	P17	1
ERR1624562	2.22236584947766	1.11121073095556	0	0	0	1.22766254696796	2.27351640689772	0	2.35688733915976	1.76794125083348	0	1.319399641286	2.21454083351478	2.54235446362778	0	2.92132170541851	0	0	0	1.37737390773768	1.7752396503394	3.16198828711179	2.20924471464639	3.32296624080468	0	1.51564285017362	1.52860517971876	0	3.3892092360661	0.69660272745301	0	0	1.25247642457044	1.52860517971876	0	0	2.24256843169221	0	2.77083032921831	0	2.09397266442806	3.09360369944502	0	0	3.8070701287487	0	1.72948766140466	1.62035891052682	0.475149421158965	03831ae0-1cde-11e6-9a08-68b599768938	WGS	500	10102500	PRJEB14082	SAMEA4008119	6134509	THE WELLCOME TRUST SANGER INSTITUTE	public	contigs,cram,sra	ena,gs,ncbi,s3	ncbi.public,s3.us-east-1,gs.US,ena	ERC000011	9/12/16	11/16/18	ERX1694927	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:26Z	public	Illumina MiSeq	16634297	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008119	ERS1179229	ERS1179229	ERP015690	P19_Post	Post	P19	1
ERR1624564	0	1.29248780925157	0	1.98443620480339	0	0	3.26658007914755	0	3.02703294438406	1.34317045927664	0	1.41636861711784	2.81931257862341	0	0	3.01157163682418	0.627017662918886	0	0	1.75458823113791	1.94639454988611	2.95578527366884	0	3.24112090638253	1.53371068488442	0.918153810586054	1.87761230154817	1.74204199686372	3.50344128684333	0	0	0	0.918153810586054	0	0	0	1.77864306936513	0	0	0	2.95383555100413	3.41847187381195	0	0	3.29314128210402	0	2.34930936451864	2.44614520670746	1.88682982799649	03940ad0-1cde-11e6-9a08-68b599768938	WGS	500	12322500	PRJEB14082	SAMEA4008121	7643566	THE WELLCOME TRUST SANGER INSTITUTE	public	contigs,cram,sra	ena,gs,ncbi,s3	gs.US,s3.us-east-1,ncbi.public,ena	ERC000011	9/12/16	11/16/18	ERX1694929	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:27Z	public	Illumina MiSeq	16634299	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008121	ERS1179231	ERS1179231	ERP015690	P24_Post	Post	P24	1
ERR1624565	0	1.2290671267264	0	1.71380345311201	0	0	3.3970877654009	0	2.60167973743681	1.46639162006709	0	0.728265151667186	2.57987483367603	1.35687718541027	1.16942586055938	2.75751492869997	0	0	0	1.98205024901792	2.371282608567	3.3602430064183	3.1496796276792	2.90570049528548	0.728265151667186	0.59098355262334	1.80163933244819	0	3.61422391799058	0.728265151667186	0	1.24725658283225	0	0	0	0	1.71380345311201	0	1.61898694361995	0	2.37395208000117	3.36379902832343	0	0	2.81849639838116	0	2.33207738936071	2.06807778584659	2.58645045063161	039c9650-1cde-11e6-9a08-68b599768938	WGS	500	12360500	PRJEB14082	SAMEA4008122	7740507	THE WELLCOME TRUST SANGER INSTITUTE	public	sra,contigs,cram	ena,s3,gs,ncbi	ena,ncbi.public,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694930	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:28Z	public	Illumina MiSeq	16634300	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008122	ERS1179232	ERS1179232	ERP015690	P25_Post	Post	P25	1
ERR1624567	1.77256216145816	1.00580467093156	0	0.645958224515035	0	0	2.60026823315794	1.45337436791108	2.60644825204626	0.826664050576489	0	0	1.84911818763171	3.20984774945538	0	2.74768337519378	1.4869587181415	0	0	0.953891813074436	2.23621696600095	2.46562659915996	0	3.3399647443371	0	0	1.71918099980338	1.1673714570213	3.53773026307022	1.30986276626716	0	1.45337436791108	0.894920331940946	0	0.645958224515035	0	1.92609956285674	0.645958224515035	3.15861400364886	0	2.01124014003826	3.52592637625177	0	0.645958224515035	3.39781851248038	0	1.78085430620074	1.30986276626716	1.70960955190293	03abffa0-1cde-11e6-9a08-68b599768938	WGS	500	8877500	PRJEB14082	SAMEA4008124	5496869	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,contigs,sra	s3,ena,gs,ncbi	ncbi.public,ena,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694932	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:28Z	public	Illumina MiSeq	16634302	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008124	ERS1179234	ERS1179234	ERP015690	P28_Post	Post	P28	1
ERR1624570	2.15034337914539	1.17311550770243	0	0.97027914619382	0	0.713429363812707	2.86780403443646	1.89667172593598	3.30571822380286	1.03053093981101	0	0.816839551161009	1.96063353025052	1.95397443815655	0	2.77206254294158	0	0	0	0	1.98001925609488	2.23185270292998	0	2.3239804946682	0	0	1.45931926987317	0	3.5932988569993	2.52982931619839	0	0	0	0	0	1.65774627211196	1.36616353598719	0	2.92806906891804	0	2.48874293712267	3.44801493733281	0	0	3.61623895644135	0	2.10063983629366	1.17311550770243	2.26587384929909	03c37f40-1cde-11e6-9a08-68b599768938	WGS	500	7211500	PRJEB14082	SAMEA4008127	4497951	THE WELLCOME TRUST SANGER INSTITUTE	public	contigs,sra,cram	s3,ena,gs,ncbi	ncbi.public,ena,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694935	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:30Z	public	Illumina MiSeq	16634305	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008127	ERS1179237	ERS1179237	ERP015690	P35_Post	Post	P35	1
ERR1624536	2.20761296177284	0	0	0	0	0.639177748646784	3.18756002275509	0	3.0581168058462	1.07590921276708	0	0	2.10626922744809	0	0	2.87627947279463	1.35831297967835	0	0	1.04417526702427	1.44490647694747	1.30754276016993	0	2.92439580232892	0	0	1.41791592074944	0	3.70233315672526	0.5462558576994	0.5462558576994	1.51707133289997	0	0	0	0	0.972769825544537	0	2.9561715639744	0	1.54910435376484	3.46560653974715	0	0	2.48758696418748	0	2.88348831149815	3.33011069143629	2.30262449447081	029ab6b0-1cde-11e6-9a08-68b599768938	WGS	500	12263500	PRJEB14082	SAMEA4002728	7685807	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,contigs,sra	s3,ncbi,ena,gs	ncbi.public,gs.US,s3.us-east-1,ena	ERC000011	9/12/16	11/16/18	ERX1694901	SC	2016-09-12T16:42:14Z	2016-05-23T13:49:47Z	public	Illumina MiSeq	16634271	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4002728	ERS1173838	ERS1173838	ERP015690	P2_Pre	Pre	P2	0
ERR1624537	1.2937435007165	0.987280967110799	0	0	0	0	3.4000829987381	1.96306617180807	3.22138128267273	1.87171587984434	0	0	2.23738950268849	1.36922871012386	0	2.63881314810477	0	0	0	1.8929731092391	1.61090974012072	2.34001657181602	0	2.85375216793914	0	1.45299133684801	1.12855528871383	0	3.56859319674941	0	0	1.45299133684801	0	0	1.47163060887476	0	2.61717688550495	0	3.05393656517671	0	2.32493569657169	3.47552642150102	0	0	3.20517566224095	0	2.27627085781692	2.77965798740838	1.69491071013609	02aedaf0-1cde-11e6-9a08-68b599768938	WGS	500	8142500	PRJEB14082	SAMEA4008094	5106033	THE WELLCOME TRUST SANGER INSTITUTE	public	sra,cram,contigs	s3,ena,gs,ncbi	gs.US,s3.us-east-1,ncbi.public,ena	ERC000011	9/12/16	11/16/18	ERX1694902	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:15Z	public	Illumina MiSeq	16634272	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008094	ERS1179204	ERS1179204	ERP015690	P3_Pre	Pre	P3	0
