Actinobacteria	Alphaproteobacteria	Bacilli	Bacteroidia	Campylobacteria	Clostridia	Coriobacteriia	Deltaproteobacteria	Erysipelotrichia	Fusobacteriia	Gammaproteobacteria	Melainabacteria	Mollicutes	Negativicutes	Oxyphotobacteria	Saccharimonadia	Verrucomicrobiae	others	Alias	Assay.Type	AvgSpotLen	Bases	BioProject	BioSample	Bytes	Center.Name	Consent	DATASTORE.filetype	DATASTORE.provider	DATASTORE.region	ENA_CHECKLIST	ENA.FIRST.PUBLIC..run.	ENA.LAST.UPDATE..run.	Experiment	INSDC_center_name	INSDC_first_public	INSDC_last_update	INSDC_status	Instrument	Library.Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	sample_description	Sample.Name	sample_name	SRA_accession	SRA.Study	title	time	ID	prepost
ERR1624556	2.06563523710789	1.93413390980953	3.6613171800637	3.32012826453592	0	3.91525804358178	2.64157889084212	1.83750285519524	2.66194783436599	0	2.90919255848788	0	0	2.01639979702279	0	0	0.98094369171473	1.61821587116811	0355f060-1cde-11e6-9a08-68b599768938	WGS	500	13225000	PRJEB14082	SAMEA4008113	8204220	THE WELLCOME TRUST SANGER INSTITUTE	public	sra,cram,contigs	s3,ena,gs,ncbi	gs.US,s3.us-east-1,ncbi.public,ena	ERC000011	9/12/16	11/16/18	ERX1694921	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:24Z	public	Illumina MiSeq	16634291	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008113	ERS1179223	ERS1179223	ERP015690	P3_Post	Post	P3	1
ERR1624559	1.84199138226816	0	3.18273802268405	3.59436346848022	0	3.77785072131285	2.52037457483625	1.89524220688862	3.05970926756986	0	3.55341579070903	0	0	2.52822365686116	0	0	0	1.65633024813322	036bc250-1cde-11e6-9a08-68b599768938	WGS	500	10149000	PRJEB14082	SAMEA4008116	6407488	THE WELLCOME TRUST SANGER INSTITUTE	public	contigs,sra,cram	ena,s3,gs,ncbi	ncbi.public,ena,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694924	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:25Z	public	Illumina MiSeq	16634294	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008116	ERS1179226	ERS1179226	ERP015690	P16_Post	Post	P16	1
ERR1624560	2.81217882560186	0	3.64091209957968	3.04208237631481	0	3.58037068418196	3.21185139697916	2.53985806499857	2.53842652820306	0.745284633199581	3.42225102271773	0	0	3.31336754059432	0	0	1.88888126595238	0	03731550-1cde-11e6-9a08-68b599768938	WGS	500	8820000	PRJEB14082	SAMEA4008117	5515838	THE WELLCOME TRUST SANGER INSTITUTE	public	sra,contigs,cram	gs,ncbi,s3,ena	ena,ncbi.public,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694925	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:25Z	public	Illumina MiSeq	16634295	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008117	ERS1179227	ERS1179227	ERP015690	P17_Post	Post	P17	1
ERR1624562	2.40867010441334	0	3.82149059735113	2.99442825574345	0	3.64412898055153	2.95846322349213	1.37737390773768	3.32296624080468	0	3.17888442488645	0	0	2.31719938450238	0	0	0	0	03831ae0-1cde-11e6-9a08-68b599768938	WGS	500	10102500	PRJEB14082	SAMEA4008119	6134509	THE WELLCOME TRUST SANGER INSTITUTE	public	contigs,cram,sra	ena,gs,ncbi,s3	ncbi.public,s3.us-east-1,gs.US,ena	ERC000011	9/12/16	11/16/18	ERX1694927	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:26Z	public	Illumina MiSeq	16634297	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008119	ERS1179229	ERS1179229	ERP015690	P19_Post	Post	P19	1
ERR1624564	3.03747293705125	0	3.29865285207437	3.47248655423437	0	3.82349434808875	3.04986643214061	1.75458823113791	3.24112090638253	1.74204199686372	2.9657850936888	0	0	2.44614520670746	0.418019568378	0	1.98443620480339	1.70899275870442	03940ad0-1cde-11e6-9a08-68b599768938	WGS	500	12322500	PRJEB14082	SAMEA4008121	7643566	THE WELLCOME TRUST SANGER INSTITUTE	public	contigs,cram,sra	ena,gs,ncbi,s3	gs.US,s3.us-east-1,ncbi.public,ena	ERC000011	9/12/16	11/16/18	ERX1694929	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:27Z	public	Illumina MiSeq	16634299	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008121	ERS1179231	ERS1179231	ERP015690	P24_Post	Post	P24	1
ERR1624565	2.61867127906061	2.03160336049349	3.31756271173931	3.47737404467984	0	3.85504658468964	2.9064820366724	1.98205024901792	2.90570049528548	0	3.36556617972234	0	1.58760477439457	2.06807778584659	0	0	1.71380345311201	1.57939164569263	039c9650-1cde-11e6-9a08-68b599768938	WGS	500	12360500	PRJEB14082	SAMEA4008122	7740507	THE WELLCOME TRUST SANGER INSTITUTE	public	sra,contigs,cram	ena,s3,gs,ncbi	ena,ncbi.public,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694930	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:28Z	public	Illumina MiSeq	16634300	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008122	ERS1179232	ERS1179232	ERP015690	P25_Post	Post	P25	1
ERR1624567	2.62329860763683	0	3.4017686899023	3.31332224506515	0	3.9376031213035	2.88099062214376	0.953891813074436	3.3399647443371	1.1673714570213	2.47899694888153	0	0	1.89566402023139	1.05216947284583	0	0.645958224515035	0.953891813074436	03abffa0-1cde-11e6-9a08-68b599768938	WGS	500	8877500	PRJEB14082	SAMEA4008124	5496869	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,contigs,sra	s3,ena,gs,ncbi	ncbi.public,ena,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694932	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:28Z	public	Illumina MiSeq	16634302	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008124	ERS1179234	ERS1179234	ERP015690	P28_Post	Post	P28	1
ERR1624570	3.30869342667915	0	3.65089185790356	3.32097137180485	0	3.84500048373177	2.83905020190014	0	2.3239804946682	0	2.25594438223837	0	2.2491963285194	2.19106812659722	0	0	0.97027914619382	0.900300818645505	03c37f40-1cde-11e6-9a08-68b599768938	WGS	500	7211500	PRJEB14082	SAMEA4008127	4497951	THE WELLCOME TRUST SANGER INSTITUTE	public	contigs,sra,cram	s3,ena,gs,ncbi	ncbi.public,ena,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694935	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:30Z	public	Illumina MiSeq	16634305	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008127	ERS1179237	ERS1179237	ERP015690	P35_Post	Post	P35	1
ERR1624536	3.0581168058462	0	2.49464515408872	3.5378463306378	0	3.90967283045387	2.90533096391282	1.04417526702427	2.92439580232892	0	1.49432318637187	0	0	3.36150102318149	0	0	0	1.32513393683805	029ab6b0-1cde-11e6-9a08-68b599768938	WGS	500	12263500	PRJEB14082	SAMEA4002728	7685807	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,contigs,sra	s3,ncbi,ena,gs	ncbi.public,gs.US,s3.us-east-1,ena	ERC000011	9/12/16	11/16/18	ERX1694901	SC	2016-09-12T16:42:14Z	2016-05-23T13:49:47Z	public	Illumina MiSeq	16634271	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4002728	ERS1173838	ERS1173838	ERP015690	P2_Pre	Pre	P2	0
ERR1624537	3.22364778549455	0	3.20618541226147	3.6190997939827	0	3.86575287240912	2.67682889797007	1.8929731092391	2.85375216793914	0	2.50627782733601	0	0	2.79291847244964	0	0	0	1.6366124418327	02aedaf0-1cde-11e6-9a08-68b599768938	WGS	500	8142500	PRJEB14082	SAMEA4008094	5106033	THE WELLCOME TRUST SANGER INSTITUTE	public	sra,cram,contigs	s3,ena,gs,ncbi	gs.US,s3.us-east-1,ncbi.public,ena	ERC000011	9/12/16	11/16/18	ERX1694902	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:15Z	public	Illumina MiSeq	16634272	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008094	ERS1179204	ERS1179204	ERP015690	P3_Pre	Pre	P3	0
ERR1624538	1.62974380487857	0.73097592649187	3.22743001682474	3.75806336497078	0	3.87660319132878	2.48976667611932	1.6515105574776	2.96025147643299	0	1.83839058429787	0	1.15067044381592	2.83685906736877	0	0	0	0.937978975283597	02bdcf10-1cde-11e6-9a08-68b599768938	WGS	500	9114000	PRJEB14082	SAMEA4008095	5685375	THE WELLCOME TRUST SANGER INSTITUTE	public	sra,contigs,cram	ena,s3,gs,ncbi	ena,ncbi.public,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694903	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:15Z	public	Illumina MiSeq	16634273	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008095	ERS1179205	ERS1179205	ERP015690	P8_Pre	Pre	P8	0
ERR1624540	2.93143039073248	0	3.18996287056264	2.70758392032226	0	3.86869764925989	3.42029630621702	1.63766993129556	3.57810885253028	0	1.33517274690286	0	0	2.25489476711752	0	0	0	1.83657431476784	02d77190-1cde-11e6-9a08-68b599768938	WGS	500	9127000	PRJEB14082	SAMEA4008097	5706795	THE WELLCOME TRUST SANGER INSTITUTE	public	sra,contigs,cram	ena,ncbi,s3,gs	ena,ncbi.public,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694905	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:16Z	public	Illumina MiSeq	16634275	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008097	ERS1179207	ERS1179207	ERP015690	P16_Pre	Pre	P16	0
ERR1624541	3.17448145301988	0	1.70224595214008	2.93733183479747	0	4.00160155136965	3.16858459742276	0.780938489897193	2.97923016385691	0	1.80947049129058	0	0	3.31973069131888	0	0	0	0	02df60d0-1cde-11e6-9a08-68b599768938	WGS	500	10117500	PRJEB14082	SAMEA4008098	6356860	THE WELLCOME TRUST SANGER INSTITUTE	public	sra,contigs,cram	ena,s3,gs,ncbi	ena,ncbi.public,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694906	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:17Z	public	Illumina MiSeq	16634276	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008098	ERS1179208	ERS1179208	ERP015690	P17_Pre	Pre	P17	0
ERR1624543	2.19564086716849	0	2.75711733836221	3.60909479356717	0	4.00005588075705	2.78862205204769	2.01020498537525	2.92011768588794	0	2.15324836944522	0	0.684850832694759	2.70903927353076	0.93852582652775	0	0	1.39459837105667	02f0ed00-1cde-11e6-9a08-68b599768938	WGS	500	13089500	PRJEB14082	SAMEA4008100	8174060	THE WELLCOME TRUST SANGER INSTITUTE	public	cram,contigs,sra	s3,ena,gs,ncbi	ncbi.public,gs.US,s3.us-east-1,ena	ERC000011	9/12/16	11/16/18	ERX1694908	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:18Z	public	Illumina MiSeq	16634278	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008100	ERS1179210	ERS1179210	ERP015690	P19_Pre	Pre	P19	0
ERR1624544	2.59322010037324	0	3.62240012162163	3.4971248768525	0	3.85718759530497	2.34543356125186	2.12301981984891	2.97198919885786	0	2.28044670932081	1.42775047123243	1.66378113399033	2.7220297729171	0	0	1.36541784338681	0.948221692099884	02f84000-1cde-11e6-9a08-68b599768938	WGS	500	14121000	PRJEB14082	SAMEA4008101	8667852	THE WELLCOME TRUST SANGER INSTITUTE	public	contigs,cram,sra	ena,gs,ncbi,s3	ncbi.public,ena,gs.US,s3.us-east-1	ERC000011	9/12/16	11/16/18	ERX1694909	SC	2016-09-12T16:42:14Z	2016-05-25T12:31:18Z	public	Illumina MiSeq	16634279	PAIRED	RANDOM	GENOMIC	human gut metagenome	ILLUMINA	2016-09-30T00:00:00Z	Human faecal sample	SAMEA4008101	ERS1179211	ERS1179211	ERP015690	P22_Pre	Pre	P22	0
