bugName	pval	p6M	p1Y	s6M	s1Y	Adjustedpval	Adjustedp6M	Adjustedp1Y
Lachnoclostridium	0.000230759041714101	0.385786348086449	0.000189638563401162	0.092230608833973	-0.587410114151303	0.0290756392559768	0.800854983438928	0.0238944589885464
Lelliottia	0.00741410476529658	0.00529636605113084	0.00774472664951805	1.41704340781133	1.38730013586192	0.314861029643414	0.487740468309256	0.150367285660336
Faecalitalea	0.00749669118198604	0.0174017866685358	0.0032617855262381	-1.2208587362237	-1.72369238720008	0.314861029643414	0.703515549294722	0.150367285660336
Veillonella	0.0139271806596872	0.00774191219538502	0.0215646465592269	1.29835330168468	1.08869583991017	0.362460736303612	0.487740468309256	0.247013224223872
Romboutsia	0.0154416170592304	0.0384567054795871	0.132841210304693	0.547767978568033	-0.380576726390745	0.362460736303612	0.703515549294722	0.492293897011509
others	0.0231178077911531	0.366270566425993	0.00752775442544465	-0.0787349312403646	-0.282373478116741	0.362460736303612	0.800854983438928	0.150367285660336
Alistipes	0.0237917564046481	0.0703611731586464	0.00915294031958449	0.551756540003246	0.899367308124707	0.362460736303612	0.703515549294722	0.150367285660336
Lachnospiraceae_NK4A136_group	0.0253661889600153	0.159609913464701	0.0082184373702735	0.58188968324247	1.3018823442959	0.362460736303612	0.773494196021244	0.150367285660336
Clostridium_sensu_stricto_1	0.027212609596756	0.104804991839382	0.00954712924827533	0.650167181733449	1.20210732418262	0.362460736303612	0.703515549294722	0.150367285660336
Phascolarctobacterium	0.0287667251034612	0.295737906723285	0.00929580281529081	0.458107267565576	1.36355681173148	0.362460736303612	0.793778376648982	0.150367285660336
Blautia	0.0372479633724754	0.112731474450301	0.0136706917088548	-0.247800342937287	-0.438773996772211	0.426658489539263	0.703515549294722	0.191389683923967
Negativibacillus	0.0429961334048925	0.128419505029989	0.0161112904648037	0.2954226000286	0.518136716358191	0.451459400751371	0.703515549294722	0.203002259856527
Escherichia/Shigella	0.0535134738628987	0.076837083672432	0.0244602415704917	1.05518354203338	1.47567718887081	0.495364342326224	0.703515549294722	0.256832536490163
