SAMPLE_ID	Acidobacteria	Actinobacteria	Aquificae	Armatimonadetes	Bacteroidetes	Candidatus Cloacimonetes	Candidatus Saccharibacteria	Chlamydiae	Chlorobi	Chloroflexi	Coprothermobacterota	Cyanobacteria	Deferribacteres	Deinococcus-Thermus	Elusimicrobia	Euryarchaeota	Fibrobacteres	Firmicutes	Fusobacteria	Gemmatimonadetes	Ignavibacteriae	Kiritimatiellaeota	Nitrospirae	Planctomycetes	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Thaumarchaeota	Thermotogae	Verrucomicrobia
SAMPLE-1	0.0	3.155534931895963	0.0	0.0	4.1542742765283425	0.0	0.0	0.0	0.0	0.3111955581432598	0.0	0.9721533264589713	0.0	0.0	0.0	0.0	0.0	4.20405011137552	2.0954804936788927	0.0	2.2941519762382763	0.0	0.0	0.0	3.1235447555638123	0.0	0.0	0.0	0.0	0.0	2.993205569803534
SAMPLE-10	0.40266789554320875	3.938341109419343	0.0	0.0	1.6097168822314691	0.0	0.0	0.0	0.0	0.40266789554320875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.287289836670121	1.3785880906494759	0.0	2.026893282842867	0.0	0.0	0.0	3.5551315584923744	0.0	0.0	0.0	0.0	0.0	3.4013357709574032
SAMPLE-11	0.0	3.608319386277259	0.0	0.0	3.5863804612266854	0.0	0.2544128712402467	0.0	0.0	0.2544128712402467	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.281821428959397	1.7718825442885975	0.0	0.7618259278805749	0.0	0.0	0.0	2.5236322705240473	0.2544128712402467	0.2544128712402467	0.2544128712402467	0.0	0.0	3.837830768010225
SAMPLE-12	0.0	4.136056396864787	0.0	0.0	2.620146175834672	0.0	0.0	0.0	0.5788696491627092	0.5788696491627092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.298723906968525	0.0	0.0	1.8143559239431386	0.0	0.0	0.5788696491627092	2.328772688861169	0.0	0.0	1.1749332670984216	0.0	0.0	1.659651784183567
SAMPLE-13	0.0	3.8154847350725367	0.0	0.6659577731848525	2.302917292066763	0.0	0.6659577731848525	0.0	0.0	1.075621982673754	0.6659577731848525	1.4781644623320382	0.0	0.0	0.0	0.0	0.0	4.336090426624158	2.7011313710389717	0.0	3.065910427035928	0.0	0.0	0.0	3.6177775180766187	0.6659577731848525	1.4781644623320382	0.0	0.0	0.0	1.2826242204538543
SAMPLE-14	0.0	4.123293863727471	0.0	0.6856270188976716	2.4560701389513557	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.059910968714271	0.0	4.281520507722653	0.0	2.241029094312911	2.1680592061563995	0.0	0.0	0.0	1.8223526385446267	0.6856270188976716	0.0	1.098510721288089	0.0	0.0	1.9702039018406134
SAMPLE-15	0.0	3.222688272529847	0.0	0.0	3.915921989463947	0.0	0.28102736296580877	0.28102736296580877	0.0	0.28102736296580877	0.0	3.105187514461495	0.0	0.0	0.0	0.0	0.0	4.231197710897047	1.7726026600987064	0.0	1.9888139338668356	0.0	0.0	0.0	2.253713063025918	0.45024097483951914	0.0	1.6320398582588147	0.0	0.0	3.759133778073692
SAMPLE-16	0.0	2.7741997600857906	0.0	0.0	3.9058017571469943	0.0	0.740102737815999	0.0	0.0	0.5679698827754425	0.0	3.3137814776576042	0.0	0.2786031215781088	0.0	0.0	0.0	4.2164971582500295	2.163739730622465	0.0	0.5679698827754425	0.0	0.0	0.2786031215781088	3.3126421506495283	0.2786031215781088	0.0	0.2786031215781088	0.0	0.0	3.6952427969936474
SAMPLE-17	0.0	3.2966033150137752	0.0	0.0	3.3809795317567413	0.0	0.7678035078220338	0.0	0.0	0.20610810123033815	0.0	0.0	0.20610810123033815	0.0	0.0	0.0	0.0	4.214983865546899	2.2362102684388856	0.0	0.20610810123033815	0.0	0.0	0.20610810123033815	3.7966765829195	0.5352137315123726	0.0	0.4505606829976764	0.0	0.0	3.851382769424318
SAMPLE-18	0.33549203428883567	3.9346727065054554	0.0	0.5224886169121784	2.9874815827124235	0.0	0.0	0.0	0.0	0.0	0.0	0.33549203428883567	0.0	0.0	0.0	2.5899514604950804	0.33549203428883567	4.3286709249753805	0.0	0.0	3.433345886220799	0.0	0.0	0.0	2.4124649267796885	0.7528686557138073	0.0	0.0	0.0	0.0	1.891544320222716
SAMPLE-19	0.0	3.3422680097113036	0.0	1.072446000857585	3.519360178170716	0.0	0.0	0.0	0.0	0.0	0.371421943799915	0.5686514537713263	0.0	0.0	0.0	2.452630569492917	0.0	4.415803256349532	1.541553267539662	0.0	2.52318896231685	0.0	0.0	0.0	3.254062884587193	0.0	1.1194951040200138	0.0	0.0	0.0	2.4902914758257118
SAMPLE-2	0.0	3.6311303031879674	0.0	0.0	2.9356391833081874	0.0	0.0	0.0	0.0	0.0	0.0	0.265849082175851	0.0	0.265849082175851	0.0	0.0	0.0	4.458348300474259	0.0	0.0	2.297943393123972	0.0	0.0	0.0	2.4053673924400045	0.0	0.265849082175851	0.0	0.0	0.0	1.0465924161886995
SAMPLE-20	0.0	3.7288132017887543	0.0	0.9144027759582406	2.0537431684100462	0.0	0.4153861815282796	0.0	0.0	0.8201130430262308	0.5319524283317423	0.7639830925759881	0.0	0.0	0.0	3.0389722140225266	0.0	4.306129477002127	0.4153861815282796	0.0	3.1922888876919573	0.0	0.0	0.0	3.047789092873992	0.0	0.8698118065121285	0.4153861815282796	0.0	0.2555707020314748	3.6842398356109105
SAMPLE-21	0.0	2.705144940478201	0.0	0.0	2.4349095398539733	0.0	0.7581899942789342	0.0	0.0	0.4110844598300609	0.0	0.9486139854207386	0.0	0.0	0.0	0.0	0.0	4.506510042367525	0.4110844598300609	0.0	1.9190506544968822	0.0	0.0	0.0	2.253291744971269	0.0	0.0	3.0573018124448015	0.0	0.0	1.589320968271519
SAMPLE-22	0.0	3.0361932179493376	0.0	0.0	3.0708933615606613	0.0	0.8509466448873944	0.0	0.30445124646084987	0.48167695929014465	0.0	1.0061389777657492	0.0	0.30445124646084987	0.0	0.0	0.0	4.446416598531273	1.1202386043288854	0.0	1.8128900566412063	0.0	0.0	0.0	2.832880469672102	0.0	0.0	0.48167695929014465	0.0	0.0	3.5238775778207967
SAMPLE-23	0.32717118094810715	3.934225832651116	0.0	0.6407044467351344	1.3707282488161079	0.0	0.32717118094810715	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.404961772985106	0.0	0.0	1.12596560780308	0.0	0.0	0.0	2.457149950537433	0.0	0.0	0.0	0.0	0.0	0.7400724908675765
SAMPLE-24	0.0	3.284358645358824	0.0	0.277834971904401	3.7874913358644453	0.0	0.0	0.0	0.0	0.0	0.0	0.44591084901561495	0.0	0.0	0.0	0.0	0.0	4.407878351437331	0.0	0.0	1.9166363913536435	0.0	0.0	0.0	2.775850821261789	0.0	0.277834971904401	0.0	0.0	0.0	1.2970092401468887
