SAMPLE_ID	Acidobacteria	Actinobacteria	Aquificae	Armatimonadetes	Bacteroidetes	Balneolaeota	Caldiserica	Calditrichaeota	Candidatus Bipolaricaulota	Candidatus Cloacimonetes	Candidatus Saccharibacteria	Chlamydiae	Chlorobi	Chloroflexi	Coprothermobacterota	Cyanobacteria	Deferribacteres	Deinococcus-Thermus	Dictyoglomi	Elusimicrobia	Euryarchaeota	Fibrobacteres	Firmicutes	Fusobacteria	Gemmatimonadetes	Ignavibacteriae	Kiritimatiellaeota	Nitrospirae	Planctomycetes	Proteobacteria	Spirochaetes	Synergistetes	Tenericutes	Thaumarchaeota	Thermodesulfobacteria	Thermotogae	Verrucomicrobia
SRR11292124	0.0	1.6202323426750542	0.0	0.0	4.574632681606751	0.0	0.0	0.0	0.0	0.5843515790092957	1.1539420325314076	0.0	0.28930497637418456	0.4614164801424044	0.0	0.28930497637418456	0.0	0.28930497637418456	0.0	0.0	0.0	0.0	3.9724321783109744	4.127871932928218	0.0	1.3574529160413273	0.0	0.0	0.28930497637418456	3.3832849939237053	0.0	0.0	1.0574376115471569	0.0	0.0	0.0	1.3390136766867653
SRR11292125	0.34179393951182296	2.5677551427011003	0.0	0.0	4.43696795185154	0.6618554404129339	0.0	0.0	0.0	0.0	2.1673519301143984	0.0	0.34179393951182296	1.5067383487171846	0.0	0.9128012850156939	0.0	1.1512162806453843	0.0	0.0	0.0	1.6672573110805473	4.4569675714867945	1.2493314920693441	0.0	2.0503952586197243	0.0	0.34179393951182296	0.34179393951182296	3.356515211272454	0.0	1.4902455591437462	2.325597433513209	0.0	0.34179393951182296	1.9521358088920284	3.550467690026038
SRR11292126	0.0	2.35073773654007	0.0	0.0	4.159051810124661	0.0	0.0	0.0	0.0	0.0	0.546866992972538	0.0	0.6797861377972008	1.5288419921211787	0.0	0.35436103519127793	0.0	0.0	0.0	0.0	0.0	0.35436103519127793	4.66929268645816	0.781414941689513	0.0	2.335828527172167	0.0	0.0	0.546866992972538	2.9888865900431756	1.091731434844608	0.6797861377972008	0.8637138026745719	0.0	0.0	0.9328738371971671	2.448724707041347
SRR11292127	0.0	2.84939407334054	0.0	0.0	4.130412933816217	0.0	0.0	1.739789077036759	0.0	0.0	1.1224199741927292	0.0	0.0	1.0336240727242998	0.0	1.1224199741927292	0.0	0.5379758729441882	0.0	0.0	0.0	1.0336240727242998	4.586043989112085	1.6044413156651487	0.0	1.6044413156651487	0.0	0.0	0.5379758729441882	3.5845688837712317	0.7710353564252641	0.9218807965404405	1.0336240727242998	0.0	0.0	0.0	3.784434905034997
SRR11292128	0.3339588944190677	2.180355940760427	0.0	0.0	4.208106049350202	0.0	0.0	0.0	0.0	0.0	0.5204940631749475	0.3339588944190677	0.5204940631749475	0.3339588944190677	0.0	2.2910728964275187	0.0	0.0	0.0	0.0	0.0	0.0	4.653003825028277	0.3339588944190677	0.0	2.1083262345662503	0.0	0.0	0.3339588944190677	2.921389356485793	0.0	0.3339588944190677	1.0111609702360236	0.0	0.0	0.6505620569001975	2.6397206179888837
SRR11292129	1.5286645273925072	2.168323557056572	0.0	0.0	4.586731016090114	0.0	0.0	0.0	0.0	0.0	1.1423270811663837	0.3366053777892127	0.0	0.0	0.0	1.657893579228874	0.0	0.0	0.0	0.0	0.0	0.0	4.149870022435148	3.8590826543773087	0.0	2.7224920393547163	0.0	1.1774999707790716	0.0	3.236910463362343	0.3366053777892127	0.6543867573028254	0.5239357072232532	1.5133461627755787	0.0	0.0	2.589403227561474
SRR11292130	0.36503374329343713	2.1680576421089883	0.0	0.0	4.597399401680487	0.0	0.0	0.0	0.0	0.0	0.36503374329343713	0.36503374329343713	0.0	0.0	0.0	1.2255908751977111	0.0	0.5605222671682881	0.0	0.0	0.0	0.5605222671682881	4.244141175960263	1.3440225804701613	0.0	1.8420715609527198	0.0	0.0	0.7972882399407601	3.3411266142940437	0.0	0.0	0.9496557850984739	0.0	0.0	0.0	3.5195802735889523
SRR11292131	0.0	2.1964746756605313	0.0	0.0	4.456482100103043	0.0	0.0	0.0	0.0	0.0	0.5804838403626194	0.0	0.6759166038200819	0.7541102178424575	0.0	0.2867656467458155	0.0	0.0	0.0	0.2867656467458155	1.6051525024318924	0.4579960745641512	4.379719665844894	2.0540201024311497	0.0	1.9625189674691468	0.0	0.0	0.2867656467458155	3.7445589367158307	0.4579960745641512	2.2954114662067764	2.439436207671304	0.0	0.0	0.0	3.5879944225084532
SRR11292132	0.0	2.1877094869262192	0.0	0.0	3.8658660810993544	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8020580745552421	0.0	0.0	0.0	0.0	0.0	0.6589359388967304	4.741009418664287	0.0	0.0	1.2741227955099739	0.0	0.0	0.0	2.4013291953831817	0.0	0.0	0.0	0.0	0.0	0.6589359388967304	1.5190041361003852
SRR11292133	0.0	2.3160367008022362	0.0	0.0	4.309828351053798	0.0	0.0	1.3684732442587455	0.0	0.0	1.268778893751941	0.0	0.4144960995955373	0.6226583341152783	0.0	1.1867953440874925	0.0	0.0	0.0	0.0	0.0	1.2297187996173453	4.5721074398062305	2.04611636590328	0.0	1.3971952719485292	0.0	0.0	0.0	3.431905225318881	0.4144960995955373	0.0	1.2297187996173453	0.0	0.0	0.0	3.303930488032472
